Acolyte; Medium humanoid (any race); any alignment; 10; ; 9; 2d8; 30 ft.; 10; 10; 10; 10; 14; 11; ; Medicine +4, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/4; 50; ; Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target.<br>Hit: 2 (1d4) bludgeoning damage.; ; Spellcasting.The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with <br>spell attacks). The acolyte has following cleric spells prepared:<br>Cantrips (at will): light, sacred flame, thaumaturgy<br>1st level (3 slots): bless, cure wounds, sanctuary
Captain Othelstan; Medium Humanoid; lawful evil; 19; splint, shield; 93; 11d10+33; 30 ft.; 19; 10; 16; 13; 14; 12; Str +7. Con +6; Athletics +7, Intimidation +4, Perception +5, Religion +4; ; ; ; passive Perception 15; Common, Draconic, Giant; 5; 1,800; ; Multiattack. Othelstan attacks twice with his flail or spear, or makes two ranged attacks with his spears.<br>Flail. Melee Weapon Attack: +7to hit, reach 5 ft., one target.<br>Hit:8 ( 1d8 + 4) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack:+7 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit: 7 ( 1d6 + 4) piercing damage.; ; Action Surge (Recharges when Othelstan Finishes a Short or Long Rest). On his turn, Othelstan can take one additional action.<br>Tiamat’s Blessing of Retribution.When Othelstan takes damage that reduces him to 0 hit points, he immediately <br>regains 20 hit points. If he has 20 hit points or fewer at the end of his next turn, he dies.
Commoner; Medium humanoid (any race); any alignment; 10; ; 4; 1d8; 30 ft.; 10; 10; 10; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 0; 10; ; Club. Melee Weapon Attack:+2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) bludgeoning damage.; ;
Crocodile; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 20 ft., swim 30 ft.; 15; 10; 13; 2; 10; 5; ; Stealth +2; ; ; ; passive Perception 10; ; 1/2; 100; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can’t bite another target.<br>; ; Hold Breath. The crocodile can hold its breath for 15 minutes.
Cultist; Medium humanoid (any race); any non-good alignment; 12; leather armor; 9; 2d8; 30 ft.; 11; 12; 10; 10; 11; 10; ; Deception +2, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one creature. <br>Hit:4 (1d6 + 1) slashing damage.; ; Dark Devotion.The cultist has advantage on saving throws against being charmed or frightened.
Deer; Medium beast; unaligned; 13; ; 4; 1d8; 50 ft.; 11; 16; 11; 2; 14; 5; ; ; ; ; ; passive Perception 12; ; 0; 10; ; Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) piercing damage.; ;
Doppelganger; Medium monstrosity (shapechanger); neutral; 14; ; 52; 8d8+16; 30 ft.; 11; 18; 14; 11; 12; 14; ; Deception +6, Insight +3; ; ; charmed; darkvision 60 ft., passive Perception 11; Common; 3; 700; ; Multiattack. The doppelganger makes two melee attacks.<br>Slam.Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit:7 (1d6 + 4) bludgeoning damage.<br>Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger’s concentration isn’t broken (as if concentrating on a spell). While reading the target’s mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.<br>; ; Shapechanger.The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.<br>Ambusher. The doppelganger has advantage on attack rolls against any creature it has surprised.<br>Surprise Attack.If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.
Dragonclaw; medium Humanois; neutral evil; 14; leather armor; 16; 3d8+3; 30 ft.; 9; 16; 13; 11; 10; 12; Wis +2; Deception +5, Stealth +5; ; ; ; passive Perception 10; Common, Draconic; 1; 200; ; Multiattack. The dragonclaw attacks twice with its scimitar.<br>Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:6 ( 1d6 + 3) slashing damage.; ; Dragon Fanatic.The dragonclaw has advantage on saving throws against being charmed or frightened. While the <br>dragonclaw can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonclaw ignores the effects of being charmed or frightened.<br><br>Fanatical Advantage. Once per turn, if the dragonclaw makes a weapon attack with advantage on the attack roll and hits, it deals an extra 7 (2d6) damage.<br><br>Pack Tactics.The dragonclaw has advantage on an attack roll against a creature if at least one of the Dragonclaw’s allies is within 5 feet of the creature and the ally isn’t incapacitated.
DragonFang; Medium Humanoid (Human); Neutral Evil; 15; Studded Leather; 78; 12d8 + 24; 30 Ft.; 11; 16; 14; 12; 12; 14; Wis +3; Deception +4, Stealth +5; One of: Acid, Cold, Fire, Lightning, or Poison; ; ; Passive perception 11; Common, Draconic, Infernal; 5; 1800; Dragon Fanatic. The dragonfang has advantage on saving throws against being charmed or frightened. While the dragonfang can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonfang ignores the effects of being charmed or frightened. <br><br>Fanatic Advantage. Once per turn, if the dragonfang makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage.<br><br>Limited Flight. The dragonfang can use a bonus action to gain a flying speed of 30 feet until the end of its turn. <br><br>Pack Tactics. The dragonfang has advantage on an attack roll against a creature if at least one of the dragonfang’s allies is within 5 feet of the creature and the ally isn't incapacitated; Multiattack. The dragonfang attacks twice with its shortsword. <br><br>Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) piercing damage plus 7 (2d6) damage of the type to which the dragonfang has damage resistance. <br><br>Orb o f Dragon’s Breath (2/Day). Ranged Spell Attack: +5 to hit, range 90 ft., one target. Hit: 22 (5d8) damage of the type to which the dragonfang has damage resistance; ; 
DragonSoul; Medium Humanoid (Human); Neutral Evil; 16; Studded Leather; 110; 17d8 + 34; 30 Ft.; 11; 18; 14; 13; 12; 16; Wis +4; Deception +6, Stealth +7; One of the Following: Acid, Cold, Fire, Lightning, or Poison; ; ; Perception 11; Common, Draconic, Infernal; 7; 2900; Dragon Fanatic. The dragonsoul has advantage on saving throws against being charmed or frightened. While the dragonsoul can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonsoul ignores the effects of being charmed or frightened. <br><br>Fanatic Advantage. Once per turn, if the dragonsoul makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage. <br><br>Limited Flight. The dragonsoul can use a bonus action to gain a flying speed of 30 feet until the end of its turn. <br><br>Pack Tactics. The dragonsoul has advantage on an attack roll against a creature if at least one of the dragonsoul's allies is within 5 feet of the creature and the ally isn’t incapacitated.; Multiattack. The dragonsoul attacks twice with its shortsword. <br><br>Shortsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) piercing damage plus 10 (3d6) damage of the type to which the dragonsoul has damage resistance. <br><br>Orb o f Dragon's Breath (3/Day). Ranged Spell Attack: +7 to hit, range 90 ft., one target. Hit: 27 (6d8) damage of the type to which the dragonsoul has damage resistance.; ; 
Dragonwing; Medium Humanoid (Human); Neutral Evil; 14; Leather Armor; 33; 6d8+6; 30 F.; 11; 16; 13; 11; 11; 13; Wis +2; Deception +3, Stealth +5; One of the Following: Acid, Cold, Fire, Lightning, or Poison; ; ; Passive Perception 10; Common, Draconic; 2; 450; Dragon Fanatic: The dragonwing has advantage on saving throws against being charmed or frightened. While the dragonwing can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonwing ignores the effects of being charmed or frightened.<br><br>Fanatical Advantage: Once per turn, if the dragonwing makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 7 (2d6) damage.<br>Limited Flight. The dragonwing can use a bonus action to gain a flying speed of 30 feet until the end of its turn.<br><br>Pack Tactics: The dragonwing has advantage on an attack roll against a creature if at least one of the dragonwing’s allies is within 5 feet of the creature and the ally isn’t incapacitated; Multiattack.  The dragonwing attacks twice with its scimitar.<br><br>Scimitar: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (ld6 + 3) slashing damage plus 3 (ld6) damage of the type to which the cultist has damage resistance; ; 
Dralmorrer Borngray; Medium Humanoid; neutral evil; 16; studded leather, Shield; 52; 7d10+14; 30 ft.; 18; 14; 14; 16; 10; 8; Str. +6, Con +4; Arcana +5, Deception +1, Insight +2, Perception +2, Religion +5; ; ; ; darkvision 60ft., passive Perception +12; Common, Bullywug, Draconic, Elvish, Goblin, Sylvan; 3; 700; ; Multiattack. Dralmorrer attacks twice, either with his longsword or dagger.<br>Longsword. Melee Weapon Attack:+6 to hit, reach 5 ft., one target. <br>Hit:8 ( 1d8 + 4) slashing damage.<br>Dagger. Melee or Ranged Weapon Attack:+6 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit:6 (1d4 + 4) piercing damage.; ; Fey Ancestry. Dralmorrer has advantage on saving throws against being charmed, and magic can’t put him to sleep.<br>Spellcasting. Dralmorrer is a 7th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 13, +5 <br>to hit with spell attacks). Dralmorrer has the following spells <br>prepared from the wizard spell list:<br>Cantrips (at will): fire bolt, prestidigitation, shocking grasp<br>1st level (4 slots): longstrider, magic missile, shield, thunderwave<br>2nd level (2 slots): magic weapon, misty step<br>War Magic.When Dralmorrer uses his action to cast a cantrip, he can also take a bonus action to make one weapon attack.<br>Weapon Bond. Provided his longsword is on the same plane, Dralmorrer can take a bonus action to teleport it to his hand.
Elk; Large beast; unaligned; 10; ; 13; 2d10+2; 50 ft.; 16; 10; 12; 2; 10; 6; ; ; ; ; ; passive Perception 10; ; 1/4; 50; ; Ram. Melee Weapon Attack:+5 to hit, reach 5 ft., one target.<br>Hit: 6 (1d6 + 3) bludgeoning damage.<br>Hooves. Melee Weapon Attack:+5 to hit, reach 5 ft., one prone creature. <br>Hit:8 (2d4 + 3) bludgeoning damage.<br>; ; Charge.If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.
Ettercap; Medium monstrosity; neutral evil; 13; natural armor; 44; 8d8+8; 30 ft., climb 30 ft.; 14; 15; 13; 7; 12; 8; ; Perception +3, Stealth +4, Survival +3; ; ; ; darkvision 60 ft., passive Perception 13; ; 2; 450; ; Multiattack.The ettercap makes two attacks: one with its bite and one with its claws.<br>Bite.Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>Claws.Melee Weapon Attack:+4 to hit, reach 5 ft., one target. <br>Hit:7 (2d4 + 2) slashing damage.<br>Web (Recharge 5–6).Ranged Weapon Attack:+4 to hit, range 30/60 ft., one Large or smaller creature. Hit:The creature is restrained by webbing. As an action, the restrained creature can make a DC 11 Strength check, escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10, 5 hit points, resistance to bludgeoning damage, and immunity to poison and psychic damage.<br>; ; Spider Climb. The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Web Sense.While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.<br>Web Walker.The ettercap ignores movement restrictions caused by webbing.
Frulam Mondath; medium Humanoid; lawful evil; 16; chain mail; 44; 8d8+8; 30 ft.; 14; 10; 13; 11; 18; 15; Wis +6, Cha +4; Deception +4, History +2, Religion +2; ; ; ; passive Perception 14; Common, Draconic, Infernal; 2; 450; ; Multiattack. Frulam attacks twice with her halberd.<br>Halberd. Melee Weapon Attack:+5 to hit, reach 10 ft., one target.<br>Hit: 7 (1d10 + 2) bludgeoning damage.; ; Spellcasting. Frulam is a 5th-level spellcaster that uses Wisdom as her spellcasting ability (spell save DC 14, +6 to hit with spell attacks). Frulam has the following spells prepared from the cleric spell list:<br>Cantrips (at will): light, sacred fla me, thaumaturgy<br>1st level (4 slots): command, cure wounds, healing word, sanctuary<br>2nd level (3 slots): calm emotions, hold person, spiritual weapon<br>3rd level (2 slots): mass healing word, spirit guardians.
Gargoyle; Medium elemental; chaotic evil; 15; natural armor; 52; 7d8+12; 30 ft., fly 60 ft.; 15; 11; 16; 6; 11; 7; ; ; bludgeoning, piercing, and slashing from  nonmagical weapons that aren’t adamantine; poison; exhaustion, petrified, poisoned; darkvision 60 ft., passive Perception 10; Terran; 2; 450; ; Multiattack. The gargoyle makes two attacks: one with its bite and one with its claws.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) slashing damage.<br>; ; False Appearance. While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.
Giant Centipede; Small beast; unaligned; 13; natural armor; 4; 1d6+1; 30 ft., climb 30 ft.; 5; 14; 12; 1; 7; 3; ; ; ; ; ; blindsight 30 ft., passive Perception 8; ; 1/4; 50; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.<br>; ;
Giant Frog; Medium beast; unaligned; 11; ; 18; 4d8; 30 ft., swim 30 ft.; 12; 13; 11; 2; 10; 3; ; Perception +2, Stealth +3; ; ; ; darkvision 30 ft., passive Perception 12; ; 1/4; 50; ; Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can’t bite another target.<br>Swallow. The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog’s turns. The frog can have only one target swallowed at a time.If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.<br>; ; Amphibious.The frog can breathe air and water.<br>Standing Leap. The frog’s long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Giant Lizard; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 30 ft., climb 30 ft.; 15; 12; 13; 2; 10; 5; ; ; ; ; ; darkvision 30 ft., passive Perception 10; ; 1/4; 50; ; Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 6 (1d8 + 2) piercing damage.; ;
